experiment_id,method_id,method_label,seed,dataset,split,class_index,class_angle,n,precision,recall,f1,source_file,notes
A4b-5,oracle,oracle,42,Alpha_100,test,2,45.0,354,0.8365122615803815,0.867231638418079,0.8515950069348128,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,oracle,oracle,42,Alpha_100,test,3,60.0,156,0.7791411042944786,0.8141025641025641,0.7962382445141065,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,a4b5d_class_aware_prob_val-cv,a4b5d_class_aware_prob_val-cv,42,Alpha_100,val,0,15.0,350,0.7135549872122762,0.7971428571428572,0.7530364372469635,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,a4b5d_class_aware_prob_val-cv,a4b5d_class_aware_prob_val-cv,42,Alpha_100,val,1,30.0,144,0.6309523809523809,0.3680555555555556,0.4649122807017544,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,a4b5d_class_aware_prob_val-cv,a4b5d_class_aware_prob_val-cv,42,Alpha_100,val,2,45.0,352,0.7604456824512534,0.7755681818181818,0.7679324894514767,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,a4b5d_class_aware_prob_val-cv,a4b5d_class_aware_prob_val-cv,42,Alpha_100,val,3,60.0,155,0.6706586826347305,0.7225806451612903,0.6956521739130435,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,a4b5d_class_aware_prob_val-cv,a4b5d_class_aware_prob_val-cv,42,Alpha_100,test,0,15.0,351,0.7135549872122762,0.7948717948717948,0.7520215633423181,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,a4b5d_class_aware_prob_val-cv,a4b5d_class_aware_prob_val-cv,42,Alpha_100,test,1,30.0,145,0.4891304347826087,0.3103448275862069,0.379746835443038,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,a4b5d_class_aware_prob_val-cv,a4b5d_class_aware_prob_val-cv,42,Alpha_100,test,2,45.0,354,0.8017751479289941,0.7655367231638418,0.7832369942196532,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,a4b5d_class_aware_prob_val-cv,a4b5d_class_aware_prob_val-cv,42,Alpha_100,test,3,60.0,156,0.6486486486486487,0.7692307692307693,0.7038123167155426,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,primary_only,primary_only,43,Alpha_100,val,0,15.0,350,0.6828644501278772,0.7628571428571429,0.7206477732793524,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,primary_only,primary_only,43,Alpha_100,val,1,30.0,144,0.5517241379310345,0.2222222222222222,0.31683168316831684,outputs/a4b_5_gated_late_fusion_seed43_by_class.csv,A4b prediction-level fusion per-class result
