experiment_id,method_id,method_label,seed,dataset,particle,modalities,model,fusion_mode,loss,label_encoding,handcrafted_features,best_epoch,stopped_epoch,max_epochs,early_stopped,val_accuracy,val_mae_argmax,val_p90_error,val_macro_f1,val_high_angle_macro_f1,val_far_error_rate_abs_ge_20,test_accuracy,test_mae_argmax,test_p90_error,test_macro_f1,test_high_angle_macro_f1,test_far_error_rate_abs_ge_20,source_file,notes
A5d,main_5feat,5 handcrafted physical features,43,Alpha_100,alpha,ToT,resnet18_no_maxpool,gated,cross_entropy,onehot,active_pixel_count;bbox_fill_ratio;ToT_density;ToA_span;ToA_major_axis_corr_abs,20,25,25,False,0.7022977022977023,6.203796203796204,15.0,,,,0.6918489065606361,6.113320079522863,15.0,0.6436993683049874,,,outputs/a5d_alpha_handcrafted_gated_3seed_runs.csv,handcrafted feature three-seed verification
A5d,main_5feat,5 handcrafted physical features,44,Alpha_100,alpha,ToT,resnet18_no_maxpool,gated,cross_entropy,onehot,active_pixel_count;bbox_fill_ratio;ToT_density;ToA_span;ToA_major_axis_corr_abs,24,25,25,False,0.6993006993006993,6.293706293706293,15.0,,,,0.7027833001988072,5.859840954274354,15.0,0.6425049406805778,,,outputs/a5d_alpha_handcrafted_gated_3seed_runs.csv,handcrafted feature three-seed verification
A5d,toa_only_diag,ToA-only diagnostic handcrafted features,42,Alpha_100,alpha,ToT,resnet18_no_maxpool,gated,cross_entropy,onehot,ToA_span;ToA_major_axis_corr_abs,23,25,25,False,0.7102897102897103,6.083916083916084,15.0,0.6565655283494468,,,0.6998011928429424,5.964214711729622,15.0,0.639188954849719,,,outputs/a5d_alpha_handcrafted_gated_3seed_runs.csv,handcrafted feature three-seed verification
A5d,toa_only_diag,ToA-only diagnostic handcrafted features,43,Alpha_100,alpha,ToT,resnet18_no_maxpool,gated,cross_entropy,onehot,ToA_span;ToA_major_axis_corr_abs,18,25,25,False,0.7062937062937062,6.158841158841159,15.0,0.6458960756332445,,,0.7027833001988072,5.964214711729622,15.0,0.6398048536304071,,,outputs/a5d_alpha_handcrafted_gated_3seed_runs.csv,handcrafted feature three-seed verification
A5d,toa_only_diag,ToA-only diagnostic handcrafted features,44,Alpha_100,alpha,ToT,resnet18_no_maxpool,gated,cross_entropy,onehot,ToA_span;ToA_major_axis_corr_abs,21,25,25,False,0.7042957042957043,6.143856143856143,15.0,0.6490314637053767,,,0.6988071570576541,5.949304174950298,15.0,0.6439077691529672,,,outputs/a5d_alpha_handcrafted_gated_3seed_runs.csv,handcrafted feature three-seed verification
B1-best,resnet18_no_maxpool,Proton baseline resnet18_no_maxpool,42,Proton_C_7,proton,ToT,resnet18_no_maxpool,none,cross_entropy,onehot,,23,25,25,False,0.9387755102040817,0.5796890184645287,0.0,0.9552150178957939,,,0.940868045441305,0.5617050199048451,0.0,0.9575670197022168,,,outputs/b1_proton_c7_resnet18_tot_best_patience8_3seed_runs.csv,formal Proton_C_7 baseline
B1-best,resnet18_no_maxpool,Proton baseline resnet18_no_maxpool,43,Proton_C_7,proton,ToT,resnet18_no_maxpool,none,cross_entropy,onehot,,25,25,25,False,0.9409135082604471,0.5597667638483965,0.0,0.9563269487717777,,,0.9432954655791824,0.534032430333042,0.0,0.9586565739590428,,,outputs/b1_proton_c7_resnet18_tot_best_patience8_3seed_runs.csv,formal Proton_C_7 baseline
B1-best,resnet18_no_maxpool,Proton baseline resnet18_no_maxpool,44,Proton_C_7,proton,ToT,resnet18_no_maxpool,none,cross_entropy,onehot,,5,13,25,True,0.9085519922254616,0.8882410106899903,0.0,0.9351107796115335,,,0.9136809398970774,0.8253228468783377,0.0,0.9388233945398462,,,outputs/b1_proton_c7_resnet18_tot_best_patience8_3seed_runs.csv,formal Proton_C_7 baseline
B3b-main,ce_expected_mae,ce_expected_mae,42,Proton_C_7,proton,ToT,resnet18_no_maxpool,none,ce_expected_mae,onehot,,22,25,25,False,0.9425655976676385,0.5476190476190477,0.0,0.9581242949620756,0.9284054451759506,0.002137998056365403,0.9431983687736674,0.539858238663948,0.0,0.9593412207227582,0.9300344783295208,0.001553548888241577,outputs/b3b_proton_c7_expected_mae_3seed_runs.csv,validation-selected ordered loss
B3b-main,ce_expected_mae,ce_expected_mae,43,Proton_C_7,proton,ToT,resnet18_no_maxpool,none,ce_expected_mae,onehot,,25,25,25,False,0.9414965986394558,0.5515063168124392,0.0,0.9575482310752158,0.9268299274071312,0.0018464528668610302,0.9447519176619089,0.5199533935333528,0.0,0.9601481386512833,0.9309423027490356,0.0012622584716962813,outputs/b3b_proton_c7_expected_mae_3seed_runs.csv,validation-selected ordered loss
B3b-main,ce_expected_mae,ce_expected_mae,44,Proton_C_7,proton,ToT,resnet18_no_maxpool,none,ce_expected_mae,onehot,,25,25,25,False,0.9420796890184645,0.5495626822157434,0.0,0.957929798195517,0.9276117723073989,0.001943634596695821,0.9433925623846976,0.535003398388193,0.0,0.9590709586928782,0.9297263855072271,0.0014564520827264782,outputs/b3b_proton_c7_expected_mae_3seed_runs.csv,validation-selected ordered loss
B3b-optional,ce_emd,ce_emd,42,Proton_C_7,proton,ToT,resnet18_no_maxpool,none,ce_emd,onehot,,25,25,25,False,0.9413022351797862,0.5558794946550049,0.0,0.9566642018902048,0.9262900046484634,0.002137998056365403,0.942809981551607,0.5374308185260704,0.0,0.9589756897922282,0.9295615329179663,0.0009709680551509856,outputs/b3b_proton_c7_ce_emd_optional_3seed_runs.csv,optional ordered-loss control
B3b-optional,ce_emd,ce_emd,43,Proton_C_7,proton,ToT,resnet18_no_maxpool,none,ce_emd,onehot,,21,25,25,False,0.9409135082604471,0.5515063168124392,0.0,0.9567539874026796,0.9259972571938709,0.0014577259475218659,0.9431012719681523,0.5393727546363725,0.0,0.9587121622269951,0.928870908624112,0.0016506456937566754,outputs/b3b_proton_c7_ce_emd_optional_3seed_runs.csv,optional ordered-loss control
B3b-optional,ce_emd,ce_emd,44,Proton_C_7,proton,ToT,resnet18_no_maxpool,none,ce_emd,onehot,,24,25,25,False,0.9438289601554908,0.5272108843537415,0.0,0.9584294873242902,0.929214456068214,0.0014577259475218659,0.9445577240508787,0.5189824254782017,0.0,0.9599198676214217,0.930592875711568,0.001553548888241577,outputs/b3b_proton_c7_ce_emd_optional_3seed_runs.csv,optional ordered-loss control
